Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
524.35	60	174.88	0.0057182	17.273	22.777	73.498	40.969	54.946	825.69	-0.086857	26.885	0.10378	0.00180794183914	0.01124880851523
526	60	174.36	0.0057353	17.347	22.868	73.67	41.061	55.005	825.73	-0.087342	26.877	0.10397	0.00180182285946	0.01126807320519
527.65	60	173.84	0.0057523	17.422	22.959	73.843	41.152	55.065	825.78	-0.087832	26.87	0.10416	0.00179590891497	0.01128772090777
529.3	60	173.33	0.0057694	17.496	23.049	74.015	41.244	55.125	825.83	-0.088328	26.863	0.10436	0.00178988451424	0.01130661947779
530.95	60	172.82	0.0057864	17.571	23.14	74.187	41.335	55.185	825.89	-0.088829	26.856	0.10456	0.00178398299339	0.01132569048596
532.6	60	172.31	0.0058034	17.645	23.232	74.358	41.427	55.245	825.96	-0.089336	26.849	0.10475	0.00177801642196	0.01134438560044
534.25	60	171.81	0.0058204	17.72	23.323	74.529	41.518	55.306	826.03	-0.089848	26.843	0.10495	0.00177220658686	0.01136307167333
535.9	60	171.31	0.0058375	17.795	23.414	74.699	41.61	55.367	826.11	-0.090364	26.837	0.10516	0.00176631624105	0.01138137683317
537.55	60	170.81	0.0058545	17.87	23.506	74.87	41.701	55.428	826.2	-0.090886	26.832	0.10536	0.00176054661408	0.01139984810598
539.2	60	170.31	0.0058715	17.945	23.597	75.04	41.793	55.489	826.29	-0.091412	26.827	0.10556	0.00175473290888	0.01141821479844
540.85	60	169.82	0.0058885	18.021	23.689	75.209	41.885	55.551	826.39	-0.091943	26.822	0.10577	0.00174896725379	0.01143600715807
542.5	60	169.33	0.0059055	18.096	23.78	75.379	41.976	55.613	826.49	-0.092477	26.818	0.10598	0.0017433268064	0.01145423680062
544.15	60	168.85	0.0059224	18.171	23.872	75.548	42.068	55.675	826.61	-0.093016	26.814	0.10619	0.00173756283072	0.01147112429805
545.8	60	168.37	0.0059394	18.247	23.964	75.716	42.16	55.737	826.72	-0.093559	26.811	0.1064	0.00173184518679	0.01148844863759
547.45	60	167.89	0.0059564	18.323	24.056	75.885	42.251	55.8	826.84	-0.094105	26.807	0.10661	0.00172630962425	0.01150613382499
549.1	60	167.41	0.0059734	18.398	24.148	76.053	42.343	55.863	826.97	-0.094655	26.804	0.10682	0.001720708106	0.01152342883336
550.75	60	166.94	0.0059903	18.474	24.24	76.22	42.435	55.926	827.1	-0.095208	26.802	0.10704	0.00171510850199	0.011540193769
552.4	60	166.47	0.0060073	18.55	24.333	76.388	42.526	55.989	827.24	-0.095765	26.8	0.10725	0.00170959609531	0.01155710727561
554.05	60	166	0.0060242	18.626	24.425	76.555	42.618	56.052	827.39	-0.096325	26.798	0.10747	0.00170403194241	0.01157362549109
555.7	60	165.53	0.0060411	18.703	24.518	76.722	42.71	56.116	827.54	-0.096887	26.796	0.10769	0.00169858439235	0.01159050690463
557.35	60	165.07	0.0060581	18.779	24.61	76.888	42.802	56.18	827.69	-0.097453	26.795	0.10791	0.00169310909977	0.01160684285524
559	60	164.61	0.006075	18.856	24.703	77.054	42.893	56.244	827.85	-0.098021	26.794	0.10813	0.00168774759685	0.01162332164436
